#,Ciudad,Público General,Afinidad,Spotify Oyentes Mensuales,Youtube Vistas Mensuales,Seguidores en Instagram
,Madrid,20.609139742,"5,3",86201,,10559
,Barcelona,11.949567441,"3,9",53709,,5263
,Seville,5.090891746,"1,3",14736,,3618
,Valencia,4.55412095,"1,5",22240,,1710
,Mexico City,4.448146357,"1,1",20166,,1974
,Santiago,3.972478785,"0,9",24364,,822
,Málaga,3.528465413,"1,2",15252,,1645
,Bogotá,2.946574021,"0,7",19287,,493
,Cádiz,2.813960438,"3,3",,,3585
,Buenos Aires,2.564897067,"0,6",10647,,1349
,Granada,2.001318093,"0,9",7325,,1118
,Lima,1.582551877,"0,7",11807,,
,San Juan,1.418660329,"0,7",10648,,
,Guadalajara,1.414657363,"0,9",10481,,
,Murcia,1.329242544,"0,7",5652,,658
,Guatemala City,1.283226648,"0,7",9519,,
,Vejer De La Frontera,1.219069917,1,,,1546
,Gustavo Adolfo Madero,1.16301114,"0,8",8693,,
,Benito Juarez,1.131079434,"0,9",8455,,
,Paris,1.065549559,"0,2",4061,,493
,Iztapalapa,1.059888756,"0,8",7820,,
,Bilbao,1.051373826,"0,6",7146,,
,Los Angeles,1.050383629,"0,3",3702,,757
,Cuauhtemoc,1.045199711,"0,8",7785,,
,Medellin,1.027163359,"0,6",7648,,
,Zaragoza,1.007079513,"0,7",6695,,
,Las Palmas de Gran Canaria,0.9619023612,"0,5",3792,,493
,San Jose,0.9408810387,"0,7",7008,,
,Monterrey,0.9121586079,"0,6",6842,,
,Puebla,0.8877152096,"0,6",6738,,
,London,0.8701001465,"0,3",,,987
,Vigo,0.8346816623,"0,7",5645,,
,Guayaquil,0.7922076632,"0,5",5943,,
,Valladolid,0.7516028651,"0,7",5590,,
,Queretaro,0.7398470283,"0,5",5594,,
,San Salvador,0.6912362983,"0,6",5152,,
,Quito,0.6798830588,"0,5",5049,,
,A Coruna,0.6713249937,"0,7",5132,,
,El Puerto de Santa María,0.6709799104,1,,,921
,Tijuana,0.6496882726,"0,5",4824,,
,Miami,0.6389389288,"0,7",4071,,
,Merida,0.5776923997,"0,5",4315,,
,Panama City,0.5569874035,"0,3",4161,,
,Caracas,0.5569874035,"0,4",4174,,
,Terrassa,0.5442998419,"0,6",4027,,
,Alicante,0.5290816697,"0,8",3998,,
,Zapopan,0.5074334459,"0,5",3808,,
,Santo Domingo Este,0.4926063681,"0,2",3667,,
,Venustiano Carranza,0.4788490484,"0,5",3655,,
,Ciudad Nezahualcoyotl,0.4667021173,"0,5",3477,,
,Brooklyn,0.4626876486,"0,5",3447,,
,Palma,0.446664282,"0,7",3352,,
,Marbella,0.3591626675,"0,5",,,493