Estación,ID de Chartmetric,Fecha,Juegos
RNE Radio 3,100205,2023-06-05,1
RNE Radio 3,100205,2023-06-16,1
RNE Radio 3,100205,2023-06-17,1
RNE Radio 3,100205,2023-06-19,1
RNE Radio 3,100205,2023-06-20,1
RNE Radio 3,100205,2023-06-21,2
RNE Radio 3,100205,2023-06-22,1
RNE Radio 3,100205,2023-06-24,1
RNE Radio 3,100205,2023-06-26,1
RNE Radio 3,100205,2023-06-27,1
RNE Radio 3,100205,2023-07-02,1
RNE Radio 3,100205,2023-07-14,1
RNE Radio 3,100205,2023-07-22,1
RNE Radio 3,100205,2023-07-26,1
RNE Radio 3,100205,2023-07-28,1
RNE Radio 3,100205,2023-07-29,1
RNE Radio 3,100205,2023-08-01,1
RNE Radio 3,100205,2023-08-04,1
RNE Radio 3,100205,2023-08-06,4
RNE Radio 3,100205,2023-08-08,1
RNE Radio 3,100205,2023-08-15,2
RNE Radio 3,100205,2023-08-18,1
RNE Radio 3,100205,2023-08-22,1
RNE Radio 3,100205,2023-08-28,2
RNE Radio 3,100205,2023-08-29,1
RNE Radio 3,100205,2023-09-02,1
RNE Radio 3,100205,2023-09-06,1
RNE Radio 3,100205,2023-09-07,1
RNE Radio 3,100205,2023-09-08,1
RNE Radio 3,100205,2023-09-23,1
RNE Radio 3,100205,2023-09-30,1
RNE Radio 3,100205,2023-10-06,2
RNE Radio 3,100205,2023-10-11,1
RNE Radio 3,100205,2023-10-14,1
RNE Radio 3,100205,2023-10-17,1
RNE Radio 3,100205,2023-10-28,1
RNE Radio 3,100205,2023-11-03,1
RNE Radio 3,100205,2023-11-07,2
RNE Radio 3,100205,2023-11-09,1
RNE Radio 3,100205,2023-11-21,1
RNE Radio 3,100205,2023-11-28,2
RNE Radio 3,100205,2023-12-01,1
RNE Radio 3,100205,2023-12-08,1
RNE Radio 3,100205,2023-12-27,1
RNE Radio 3,100205,2023-12-31,1
RNE Radio 3,100205,2024-01-24,1
RNE Radio 3,100205,2024-01-29,1
RNE Radio 3,100205,2024-01-31,1
RNE Radio 3,100205,2024-02-23,1
RNE Radio 3,100205,2024-03-09,1
RNE Radio 3,100205,2024-03-28,2
RNE Radio 3,100205,2024-04-11,3
RNE Radio 3,100205,2024-04-12,8
RNE Radio 3,100205,2024-04-15,3
RNE Radio 3,100205,2024-04-16,1
RNE Radio 3,100205,2024-04-17,1
RNE Radio 3,100205,2024-04-18,2
RNE Radio 3,100205,2024-04-19,2
RNE Radio 3,100205,2024-04-21,4
RNE Radio 3,100205,2024-04-22,1
RNE Radio 3,100205,2024-04-23,1
RNE Radio 3,100205,2024-04-29,2
RNE Radio 3,100205,2024-05-03,1
RNE Radio 3,100205,2024-05-06,1
RNE Radio 3,100205,2024-05-11,1
RNE Radio 3,100205,2024-05-14,1
RNE Radio 3,100205,2024-05-15,1
iCat FM,219198,2023-06-22,1
iCat FM,219198,2023-06-25,1
iCat FM,219198,2023-09-12,1
iCat FM,219198,2023-09-23,1
iCat FM,219198,2023-10-20,1
iCat FM,219198,2024-01-02,1
iCat FM,219198,2024-01-08,1
iCat FM,219198,2024-01-22,1
iCat FM,219198,2024-01-25,1
iCat FM,219198,2024-02-07,1
iCat FM,219198,2024-02-21,1
iCat FM,219198,2024-03-11,1
iCat FM,219198,2024-04-09,1
iCat FM,219198,2024-04-11,2
iCat FM,219198,2024-04-15,1
iCat FM,219198,2024-04-22,1
iCat FM,219198,2024-05-22,1
iCat FM,219198,2024-05-27,1
Ibiza Global Radio,219065,2023-12-22,1
Ibiza Global Radio,219065,2023-12-25,1
Ibiza Global Radio,219065,2023-12-26,1
Ibiza Global Radio,219065,2024-02-06,1
Ibiza Global Radio,219065,2024-02-07,1
Ibiza Global Radio,219065,2024-02-08,1
Ibiza Global Radio,219065,2024-03-25,1
Ibiza Global Radio,219065,2024-03-26,1
Ibiza Global Radio,219065,2024-05-07,1
Ibiza Global Radio,219065,2024-05-08,1
RNE Radio Nacional (Radio 1),219050,2023-11-30,1
RNE Radio Nacional (Radio 1),219050,2024-04-23,1
RNE Radio Nacional (Radio 1),219050,2024-05-07,1
Europa FM,177332,2023-07-05,1
Europa FM,177332,2024-01-03,1
RNE Radio 4,219259,2023-06-26,1
RNE Radio 4,219259,2024-04-18,1
EiTB Radio Euskadi,219088,2024-05-18,1